x,y,porosity,permeability,pressure,temperature
0.0,0.0,0.32483570765056163,0.08926191456966186,-1.0,-0.35950323416445906
1.0,0.0,0.29308678494144075,0.02327175339340385,0.0,0.0
1.0,1.0,0.33238442690503456,0.021829159820514244,0.0,0.0
0.0,1.0,0.3761514928204012,0.07635650551839185,-1.0,-0.5262107347982233
0.5,0.5,0.2882923312638332,0.06648682987665641,0.0,0.0
0.5,0.0,0.288293152152541,0.06458602111054083,0.0,0.0
0.0,0.5,0.37896064077536956,0.06856002089002083,-1.0,-1.760776816520889
0.25,0.25,0.5383717364576455,0.354870394660683,0.0,0.0
1.0,0.5,0.27652628070325236,0.06385275890397554,0.0,0.0
0.75,0.25,0.5271280021792982,0.5786840629710298,0.0,0.0
0.5,1.0,0.2768291153593768,0.03410221696172853,0.0,0.0
0.75,0.75,0.07671351232148713,0.011096430937166737,0.0,0.0
0.25,0.75,0.11209811357830168,0.0024643773196662507,0.0,0.0
0.25,0.0,0.2043359877671101,0.024091399366191292,0.0,0.0
0.0,0.25,0.41375410837434834,0.6931163285704629,-1.0,-1.3128058782674095
0.125,0.125,0.4133069797752609,0.16417828393627457,0.0,-0.0
0.75,0.0,0.2493584439832788,0.08954111223113684,0.0,0.0
1.0,0.25,0.5157123666297637,0.888701891949615,0.0,0.0
0.875,0.125,0.39602015246124894,0.17852496406635635,0.0,0.0
1.0,0.75,0.0293848149332354,0.004482943531225617,0.0,0.0
0.75,1.0,0.37328243844607767,0.07142464002273337,0.0,0.0
0.875,0.875,0.14728982873836366,0.012430509621064258,0.0,0.0
0.0,0.75,0.10337641023439617,0.011409516889521984,1.0,1.0
0.25,1.0,0.22876259068932708,0.04695367038450888,0.0,0.0
0.125,0.875,0.13135950753643133,0.002286158243548882,0.0,0.0
0.375,0.375,0.4469674857228028,0.17198087731300715,0.0,0.0
0.625,0.375,0.3838716773661943,0.17899642466305254,0.0,0.0
0.625,0.625,0.1773635446799741,0.005184081298528886,0.0,0.0
0.375,0.625,0.12854670926675024,0.007972685485879259,0.0,0.0
0.375,0.125,0.42683666874764564,0.3179667158407492,0.0,0.0
0.625,0.125,0.41133602562583965,0.42062924271180435,0.0,0.0
0.125,0.375,0.5340352654627564,0.2775365830300863,0.0,0.0
0.125,0.625,0.1579037825257938,0.02092720060654715,0.0,0.0
0.5,0.25,0.44711445355220497,0.4378596539263297,0.0,0.0
0.25,0.5,0.34112724560515945,0.26057908915137845,0.0,0.0
0.875,0.375,0.3803791737387584,0.37989367658648854,0.0,0.0
0.875,0.625,0.16902182351292827,0.001981778195574715,0.0,0.0
0.75,0.5,0.20201649380601122,0.026363127529723075,0.0,0.0
0.625,0.875,0.09216934131776892,0.009130008875020107,0.0,0.0
0.375,0.875,0.16842170555614663,0.004406117307988759,0.0,0.0
0.5,0.75,0.1369233289997705,0.0033451128914772426,0.0,0.0
0.125,0.0,0.30856841405949853,0.07412196631795083,0.0,0.0
0.0,0.125,0.43563894211789744,0.2654329079258239,1.0,1.0
0.0625,0.0625,0.36148150169355353,0.08420078659839407,0.0,0.0
0.875,0.0,0.22607390048162862,0.01874160238416675,0.0,0.0
1.0,0.125,0.40542914581757405,0.2181373393076357,0.0,0.0
0.9375,0.0625,0.3535047479250286,0.21874169860838558,0.0,0.0
1.0,0.875,0.21143475507363624,0.0070296991340590455,0.0,0.0
0.875,1.0,0.317180914478423,0.02311650515919039,0.0,0.0
0.9375,0.9375,0.1353113057588452,0.021211280546219954,0.0,0.0
0.0,0.875,0.1747828422324302,0.00832172749743698,1.0,1.0
0.125,1.0,0.2807458859791841,0.030225042117782076,0.0,0.0
0.0625,0.9375,0.18961721351168395,0.020892746675394112,0.0,0.0
0.4375,0.4375,0.40712050091506136,0.14187184060224792,0.0,0.0
0.5625,0.4375,0.4280866625978155,0.07033273396321828,0.0,0.0
0.5625,0.5625,0.270027319482792,0.024427359894875007,0.0,0.0
0.4375,0.5625,0.18150243736585014,0.028395300144962936,0.0,0.0
0.375,0.0,0.28453938120743927,0.10649060203103393,0.0,0.0
0.625,0.0,0.3165631715701782,0.10470208311383795,0.0,0.0
0.4375,0.0625,0.4253139428291359,0.060748705895172866,0.0,0.0
0.5625,0.0625,0.35257797458075346,0.07971353201018078,0.0,0.0
0.0,0.375,0.43213840740411863,0.35913793901708413,1.0,1.0
0.0,0.625,0.10326189506238907,0.009402737029248173,1.0,1.0
0.0625,0.4375,0.3167263552689844,0.1822352168789678,0.0,0.0
0.0625,0.5625,0.26408960464669196,0.2113078736654431,0.0,0.0
0.1875,0.1875,0.5525879079307985,0.5710569555430426,0.0,0.0
0.3125,0.3125,0.48117540042324064,0.7557005510684962,0.0,0.0
0.3125,0.1875,0.5349525513968585,0.6907044764137763,0.0,0.0
0.1875,0.3125,0.502857707754639,0.5943868252772267,0.0,0.0
0.375,0.25,0.46774401226974377,0.42684630094649934,0.0,0.0
0.25,0.375,0.4594911365127302,0.40639969526475483,0.0,0.0
1.0,0.375,0.518323184560608,0.18320421201524,0.0,0.0
1.0,0.625,0.15678734180719292,0.004339704321876732,0.0,0.0
0.9375,0.4375,0.4547688692637183,0.10419129607362845,0.0,0.0
0.9375,0.5625,0.09247605832249484,0.019748670119850147,0.0,0.0
0.8125,0.1875,0.5258710317210186,1.3568875111837022,0.0,0.0
0.6875,0.3125,0.48912825991416586,0.1619044238719378,0.0,0.0
0.6875,0.1875,0.46982553897896395,0.6047775945100512,0.0,0.0
0.625,0.25,0.5045880388267752,0.21875927241773943,0.0,0.0
0.8125,0.3125,0.3853974607722127,0.3378476733711178,0.0,0.0
0.75,0.375,0.4304377618454339,0.4797484412738752,0.0,0.0
0.625,1.0,0.31785562857558725,0.05741811384439824,0.0,0.0
0.375,1.0,0.37389470223707577,0.026229475973884583,0.0,0.0
0.5625,0.9375,0.19754980261329952,0.010021781181465003,0.0,0.0
0.4375,0.9375,0.1830386333823225,0.030944603485251358,0.0,0.0
0.8125,0.8125,0.09013624131851583,0.000574411164358282,0.0,0.0
0.6875,0.6875,0.1609941993828464,0.002621933341704369,0.0,0.0
0.8125,0.6875,0.1316616489807269,0.002083131049744554,0.0,0.0
0.75,0.625,0.13209063357433853,0.002618624345460946,0.0,0.0
0.6875,0.8125,0.14088746515341047,0.018198701387933443,0.0,0.0
0.625,0.75,0.10485387746740199,0.003029518557582319,0.0,0.0
0.1875,0.8125,0.1636563430243871,2.8023548370269844e-06,0.0,0.0
0.3125,0.6875,0.08012143880387507,0.0025207626634810645,0.0,0.0
0.1875,0.6875,0.09884098616785426,0.0006576931269048203,0.0,0.0
0.25,0.625,0.1389732361060826,0.012764686853855744,0.0,0.0
0.3125,0.8125,0.042048346091136724,0.0005056036419499903,0.0,0.0
0.375,0.75,0.11480601385322878,0.0010209916340301424,0.0,0.0
0.1875,0.0625,0.38958945008201246,0.18124727730062534,0.0,0.0
0.3125,0.0625,0.376792359305141,0.219828663875954,0.0,0.0
0.0625,0.1875,0.4730465498335,0.23159951884453203,0.0,0.0
0.0625,0.3125,0.4140073693997366,0.36235883351301496,0.0,0.0
0.25,0.125,0.4203890900990415,0.2148722741379425,0.0,0.0
0.125,0.25,0.4828642741736615,0.3597246031836769,0.0,0.0
0.8125,0.0625,0.33642282301193704,0.35059663744170166,0.0,0.0
0.6875,0.0625,0.3684724008897175,0.1716821403802307,0.0,0.0
0.9375,0.1875,0.5049784493429843,0.22431070951796914,0.0,0.0
0.9375,0.3125,0.5790852015627839,0.6784419433659515,0.0,0.0
0.75,0.125,0.4501502468789014,0.8017530027062858,0.0,0.0
0.875,0.25,0.5128775195361382,0.8349136753761321,0.0,0.0
0.9375,0.8125,0.11150179770943429,6.553736437701422e-05,0.0,0.0
0.9375,0.6875,0.0192855327327906,0.0009124007384009602,0.0,0.0
0.8125,0.9375,0.22213761975452107,0.046383751848894435,0.0,0.0
0.6875,0.9375,0.2264748240240332,0.010092530993771436,0.0,0.0
0.875,0.75,0.2231621056242643,0.0023676487058662777,0.0,0.0
0.75,0.875,0.14896059552363433,0.011922140817202624,0.0,0.0
0.0625,0.8125,0.13030146061442327,0.0003768945623043148,0.0,0.0
0.0625,0.6875,0.11348850501248052,0.0017945283443236227,0.0,0.0
0.1875,0.9375,0.1650294116460053,0.00026275006336380787,0.0,0.0
0.3125,0.9375,0.28060445425273295,0.007458080080902191,0.0,0.0
0.125,0.75,0.13759665163433868,0.0008007976455716173,0.0,0.0
0.25,0.875,0.19813024111484281,0.00108950195634962,0.0,0.0
0.5,0.375,0.39595198349757255,0.628997729397367,0.0,0.0
0.375,0.5,0.37013971554680497,0.02004188137262299,0.0,0.0
0.4375,0.3125,0.4146833533626433,0.34339296883115994,0.0,0.0
0.3125,0.4375,0.4058795411630315,0.14770000609260409,0.0,0.0
0.625,0.5,0.4095227812904989,0.13062326917268247,0.0,0.0
0.5625,0.3125,0.4352490902457229,0.2044062803567864,0.0,0.0
0.6875,0.4375,0.3482217999928794,0.25703230457052584,0.0,0.0
0.5,0.625,0.16356121201707255,0.0056941951711024525,0.0,0.0
0.6875,0.5625,0.1982895308211721,0.007780307877601715,0.0,0.0
0.5625,0.6875,0.037690921944436045,0.00356500008635246,0.0,0.0
0.3125,0.5625,0.22689146226728343,0.02164085271136826,0.0,0.0
0.4375,0.6875,0.062108907811437436,0.0007394037543362337,0.0,0.0
0.5,0.125,0.46510097776906856,0.28582239692732364,0.0,0.0
0.4375,0.1875,0.43880469479056716,0.35310907470584396,0.0,0.0
0.5625,0.1875,0.5622726267531343,0.45437909306944596,0.0,0.0
0.125,0.5,0.26083733538318815,0.08310679395415149,0.0,0.0
0.1875,0.4375,0.36043361066273416,0.31986966242359977,0.0,0.0
0.1875,0.5625,0.2641391743954655,0.006000281929026354,0.0,0.0
0.875,0.5,0.23845678417830224,0.19100653482624938,0.0,0.0
0.8125,0.4375,0.38790968320322444,0.0417392190775584,0.0,0.0
0.8125,0.5625,0.28882045124110345,0.016361749051566978,0.0,0.0
0.5,0.875,0.07820448203462907,0.01007668127114033,0.0,0.0
0.5625,0.8125,0.12445578642435787,0.0028494895416264605,0.0,0.0
0.4375,0.8125,0.12821823321016382,0.0007087824340290188,0.0,0.0
